Año,Clave Región,Región hidrológica,Descripcion,RHA,Clave RHA,Nombre de cuenca,Clave cuenca,Parámetro,Unidad de medida,Cantidad
2012,24,Pánuco,Desde el nacimiento de varios arroyos en el Cerro La Lechuguilla hasta la Presa Endhó.,Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,1.38
2013,24,Pánuco,Desde el nacimiento de varios arroyos en el Cerro La Lechuguilla hasta la Presa Endhó.,Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,1.38
2014,24,Pánuco,Desde el nacimiento de varios arroyos en el Cerro La Lechuguilla hasta la Presa Endhó.,Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,1.38
2015,24,Pánuco,"Endhó: Desde el nacimiento de varios arroyos en el Cerro La Lechuguilla, hasta la Presa Endhó.",Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,1.38
2016,24,Pánuco,"Endhó: Desde el nacimiento de varios arroyos en el Cerro La Lechuguilla, hasta la Presa Endhó.",Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,1.28205
2017,24,Pánuco,"Río Misantla: Desde su nacimiento, hasta su desembocadura en el Golfo de México ",Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,1.28205
2018,24,Pánuco,"Endhó: Desde el nacimiento de varios arroyos en el Cerro La Lechuguilla, hasta la Presa Endhó.",Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,1.28205
2019,24,Pánuco,"Desde el nacimiento del Río Poza Crispín, hasta su confluencia con el Río Tancochapa.",Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,1.28205
2020,24,Pánuco,"Desde el nacimiento de varios arroyos en el Cerro La Lechuguilla, hasta la Presa Endhó.",Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,1.625
2021,24,Pánuco,"Desde el nacimiento de varios arroyos en el Cerro La Lechuguilla, hasta la Presa Endhó.",Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,1.625
2022,24,Pánuco,"Desde el nacimiento de varios arroyos en el Cerro La Lechuguilla, hasta la Presa Endhó.",Aguas del Valle de México,XIII,Presa Endhó,2673,DisponibilidadMediaAnual,hm³,1.625
,,,,,,,,,,
2008,24,Pánuco,Desde el nacimiento del Río Tepeji hasta la presa Requena.,Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.89
2009,24,Pánuco,Desde el nacimiento del Río Tepeji hasta la presa Requena.,Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.89
2010,24,Pánuco,Desde el nacimiento del Río Tepeji hasta la presa Requena.,Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.89
2011,24,Pánuco,Desde el nacimiento del Río Tepeji hasta la presa Requena.,Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.05
2012,24,Pánuco,Desde el nacimiento del Río Tepeji hasta la presa Requena.,Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.05
2013,24,Pánuco,Desde el nacimiento del Río Tepeji hasta la presa Requena.,Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.05
2014,24,Pánuco,Desde el nacimiento del Río Tepeji hasta la presa Requena.,Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.05
2015,24,Pánuco,"Requena: Desde el nacimiento del Río Tepeji, hasta la Presa Requena.",Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.05
2016,24,Pánuco,"Requena: Desde el nacimiento del Río Tepeji, hasta la Presa Requena.",Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.0470185
2017,24,Pánuco,"Río Nautla: Desde su nacimiento, hasta su desembocadura en el Golfo de México ",Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.0470185
2018,24,Pánuco,"Requena: Desde el nacimiento del Río Tepeji, hasta la Presa Requena.",Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.0470185
2019,24,Pánuco,"Desde el nacimiento del Río Tancochapa, hasta la confluencia del Río Poza Crispín.",Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.0470185
2020,24,Pánuco,"Desde el nacimiento del Río Tepeji, hasta la Presa Requena.",Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.046
2021,24,Pánuco,"Desde el nacimiento del Río Tepeji, hasta la Presa Requena.",Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.046
2022,24,Pánuco,"Desde el nacimiento del Río Tepeji, hasta la Presa Requena.",Aguas del Valle de México,XIII,Presa Requena,2672,DisponibilidadMediaAnual,hm³,0.046
,,,,,,,,,,
2008,24,Pánuco,Desde el nacimiento de arroyos en el Cerro Peña Las Ventanas en el Parque Nacional El Chicolas hasta la confluencia del Río Actopan con el Río Tula.,Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.52
2009,24,Pánuco,Desde el nacimiento de arroyos en el Cerro Peña Las Ventanas en el Parque Nacional El Chicolas hasta la confluencia del Río Actopan con el Río Tula.,Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.52
2010,24,Pánuco,Desde el nacimiento de arroyos en el Cerro Peña Las Ventanas en el Parque Nacional El Chicolas hasta la confluencia del Río Actopan con el Río Tula.,Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.52
2011,24,Pánuco,Desde el nacimiento de arroyos en el Cerro Peña Las Ventanas en el Parque Nacional El Chicolas hasta la confluencia del Río Actopan con el Río Tula.,Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.82
2012,24,Pánuco,Desde el nacimiento de arroyos en el Cerro Peña Las Ventanas en el Parque Nacional El Chicolas hasta la confluencia del Río Actopan con el Río Tula.,Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.82
2013,24,Pánuco,Desde el nacimiento de arroyos en el Cerro Peña Las Ventanas en el Parque Nacional El Chicolas hasta la confluencia del Río Actopan con el Río Tula.,Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.82
2014,24,Pánuco,Desde el nacimiento de arroyos en el Cerro Peña Las Ventanas en el Parque Nacional El Chicolas hasta la confluencia del Río Actopan con el Río Tula.,Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.82
2015,24,Pánuco,"Río Actopan: Desde el nacimiento de arroyos en el Cerro Peña Las Ventanas en el Parque Nacional El Chicolas, hasta la confluencia del Río Actopan con el Río Tula. ",Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.82
2016,24,Pánuco,"Río Actopan: Desde el nacimiento de arroyos en el Cerro Peña Las Ventanas en el Parque Nacional El Chicolas, hasta la confluencia del Río Actopan con el Río Tula. ",Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.765607
2017,24,Pánuco,"Llanuras de Tuxpan: Desde el nacimiento de los ríos Tenixtepec y Solteros, hasta su desembocadura en el Golfo de México  ",Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.765607
2018,24,Pánuco,"Río Actopan: Desde el nacimiento de arroyos en el Cerro Peña Las Ventanas en el Parque Nacional El Chicolas, hasta la confluencia del Río Actopan con el Río Tula.",Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.765607
2019,24,Pánuco,"Desde la confluencia de los ríos Tancochapa y Poza Crispín, hasta la confluencia del Río Tancochapa con el Río Coacajapa.",Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.765607
2020,24,Pánuco,"Desde el nacimiento de arroyos en el Cerro Peña Las Ventanas en el Parque Nacional El Chicolas, hasta la confluencia del Río Actopan con el Río Tula.",Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.27
2021,24,Pánuco,"Desde el nacimiento de arroyos en el Cerro Peña Las Ventanas en el Parque Nacional El Chicolas, hasta la confluencia del Río Actopan con el Río Tula.",Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.27
2022,24,Pánuco,"Desde el nacimiento de arroyos en el Cerro Peña Las Ventanas en el Parque Nacional El Chicolas, hasta la confluencia del Río Actopan con el Río Tula.",Aguas del Valle de México,XIII,Río Actopan,2675,DisponibilidadMediaAnual,hm³,0.27
,,,,,,,,,,
2008,24,Pánuco,Desde la Presa Endhó y el nacimiento del Río Alfajayucan hasta su confluencia con el Río Tula.,Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,1.09
2009,24,Pánuco,Desde la Presa Endhó y el nacimiento del Río Alfajayucan hasta su confluencia con el Río Tula.,Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,1.09
2010,24,Pánuco,Desde la Presa Endhó y el nacimiento del Río Alfajayucan hasta su confluencia con el Río Tula.,Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,1.09
2011,24,Pánuco,Desde la Presa Endhó y el nacimiento del Río Alfajayucan hasta su confluencia con el Río Tula.,Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,0.79
2012,24,Pánuco,Desde la Presa Endhó y el nacimiento del Río Alfajayucan hasta su confluencia con el Río Tula.,Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,0.79
2013,24,Pánuco,Desde la Presa Endhó y el nacimiento del Río Alfajayucan hasta su confluencia con el Río Tula.,Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,0.79
2014,24,Pánuco,Desde la Presa Endhó y el nacimiento del Río Alfajayucan hasta su confluencia con el Río Tula.,Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,0.79
2015,24,Pánuco,"Alfajayucan: Desde donde se localiza la Presa Endhó y el nacimiento del Río Alfajayucan, hasta su confluencia con el Río Tula.",Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,0.79
2016,24,Pánuco,"Alfajayucan: Desde donde se localiza la Presa Endhó y el nacimiento del Río Alfajayucan, hasta su confluencia con el Río Tula.",Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,0.612393
2017,24,Pánuco,"Río Salado: Desde su nacimiento, hasta su confluencia con el Río Grande",Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,0.612393
2018,24,Pánuco,"Alfajayucan: Desde donde se localiza la Presa Endhó y el nacimiento del Río Alfajayucan, hasta su confluencia con el Río Tula.",Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,0.612393
2019,24,Pánuco,"Desde la confluencia del Río Tancochapa con el Río Coacajapa, hasta su desembocadura en el Golfo de México.",Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,0.612393
2020,24,Pánuco,"Desde donde se localiza la Presa Endhó y el nacimiento del Río Alfajayucan, hasta su confluencia con el Río Tula.",Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,0.938
2021,24,Pánuco,"Desde donde se localiza la Presa Endhó y el nacimiento del Río Alfajayucan, hasta su confluencia con el Río Tula.",Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,0.938
2022,24,Pánuco,"Desde donde se localiza la Presa Endhó y el nacimiento del Río Alfajayucan, hasta su confluencia con el Río Tula.",Aguas del Valle de México,XIII,Río Alfajayucan,2676,DisponibilidadMediaAnual,hm³,0.938
,,,,,,,,,,
2008,24,Pánuco,"Desde el nacimiento de varios arroyos que conforman el Río Cuautitlán y su afluente el Río Tepotzotlán hasta su confluencia con el Río Tula, en la cuenca hidrológica Presa Endhó.",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.36
2009,24,Pánuco,"Desde el nacimiento de varios arroyos que conforman el Río Cuautitlán y su afluente el Río Tepotzotlán hasta su confluencia con el Río Tula, en la cuenca hidrológica Presa Endhó.",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.36
2010,24,Pánuco,"Desde el nacimiento de varios arroyos que conforman el Río Cuautitlán y su afluente el Río Tepotzotlán hasta su confluencia con el Río Tula, en la cuenca hidrológica Presa Endhó.",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.36
2011,24,Pánuco,"Desde el nacimiento de varios arroyos que conforman el Río Cuautitlán y su afluente el Río Tepotzotlán hasta su confluencia con el Río Tula, en la cuenca hidrológica Presa Endhó.",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.13
2012,24,Pánuco,"Desde el nacimiento de varios arroyos que conforman el Río Cuautitlán y su afluente el Río Tepotzotlán hasta su confluencia con el Río Tula, en la cuenca hidrológica Presa Endhó.",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.13
2013,24,Pánuco,"Desde el nacimiento de varios arroyos que conforman el Río Cuautitlán y su afluente el Río Tepotzotlán hasta su confluencia con el Río Tula, en la cuenca hidrológica Presa Endhó.",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.13
2014,24,Pánuco,"Desde el nacimiento de varios arroyos que conforman el Río Cuautitlán y su afluente el Río Tepotzotlán hasta su confluencia con el Río Tula, en la cuenca hidrológica Presa Endhó.",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.13
2015,24,Pánuco,"Río Cuautitlán: Desde el nacimiento de varios arroyos que conforman el Río Cuautitlán y su afluente el Río Tepotzotlán, hasta su confluencia con el Río Tula.
",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.13
2016,24,Pánuco,"Río Cuautitlán: Desde el nacimiento de varios arroyos que conforman el Río Cuautitlán y su afluente el Río Tepotzotlán, hasta su confluencia con el Río Tula.
",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.141026
2017,24,Pánuco,"Río Tecolutla: Desde su nacimiento, hasta su desembocadura en el Golfo de México ",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.141026
2018,24,Pánuco,"Río Cuautitlán: Desde el nacimiento de varios arroyos que conforman el Río Cuautitlán y su afluente el Río Tepotzotlán, hasta su confluencia con el Río Tula.",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.141026
2019,24,Pánuco,"Desde el nacimiento del Río Zanapa, hasta su confluencia con el Río Coacajapa.",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.141026
2020,24,Pánuco,"Desde el nacimiento de varios arroyos que conforman el Río Cuautitlán y su afluente el Río Tepotzotlán, hasta su confluencia con el Río Tula.",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.165
2021,24,Pánuco,"Desde el nacimiento de varios arroyos que conforman el Río Cuautitlán y su afluente el Río Tepotzotlán, hasta su confluencia con el Río Tula.",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.165
2022,24,Pánuco,"Desde el nacimiento de varios arroyos que conforman el Río Cuautitlán y su afluente el Río Tepotzotlán, hasta su confluencia con el Río Tula.",Aguas del Valle de México,XIII,Río Cuautitlán,2671,DisponibilidadMediaAnual,hm³,0.165
,,,,,,,,,,
2008,24,Pánuco,Desde el nacimiento del Río de las Avenidas de Pachuca hasta su descarga a la Laguna de Zumpango.,Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.9
2009,24,Pánuco,Desde el nacimiento del Río de las Avenidas de Pachuca hasta su descarga a la Laguna de Zumpango.,Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.9
2010,24,Pánuco,Desde el nacimiento del Río de las Avenidas de Pachuca hasta su descarga a la Laguna de Zumpango.,Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.9
2011,24,Pánuco,Desde el nacimiento del Río de las Avenidas de Pachuca hasta su descarga a la Laguna de Zumpango.,Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.24
2012,24,Pánuco,Desde el nacimiento del Río de las Avenidas de Pachuca hasta su descarga a la Laguna de Zumpango.,Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.24
2013,24,Pánuco,Desde el nacimiento del Río de las Avenidas de Pachuca hasta su descarga a la Laguna de Zumpango.,Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.24
2014,24,Pánuco,Desde el nacimiento del Río de las Avenidas de Pachuca hasta su descarga a la Laguna de Zumpango.,Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.24
2015,24,Pánuco,"Río de las Avenidas de Pachuca: Desde el nacimiento del Río de las Avenidas de Pachuca, hasta su desembocadura en la Laguna de Zumpango.",Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.24
2016,24,Pánuco,"Río de las Avenidas de Pachuca: Desde el nacimiento del Río de las Avenidas de Pachuca, hasta su desembocadura en la Laguna de Zumpango.",Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.233495
2017,24,Pánuco,Estero Galindo: Desde el nacimiento de varias corrientes que desembocan en la Laguna de Tamiahua. ,Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.233495
2018,24,Pánuco,"Río de las Avenidas de Pachuca: Desde el nacimiento del Río de las Avenidas de Pachuca, hasta su desembocadura en la Laguna de Zumpango.",Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.233495
2019,24,Pánuco,"Desde su nacimiento, hasta la EH Paso del Toro",Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.233495
2020,24,Pánuco,"Desde el nacimiento del Río de las Avenidas de Pachuca, hasta su desembocadura en la Laguna de Zumpango.",Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.122
2021,24,Pánuco,"Desde el nacimiento del Río de las Avenidas de Pachuca, hasta su desembocadura en la Laguna de Zumpango.",Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.122
2022,24,Pánuco,"Desde el nacimiento del Río de las Avenidas de Pachuca, hasta su desembocadura en la Laguna de Zumpango.",Aguas del Valle de México,XIII,Río de Las Avenidas de Pachuca,2668,DisponibilidadMediaAnual,hm³,0.122
,,,,,,,,,,
2008,24,Pánuco,"Desde el nacimiento los ríos San Francisco, San Rafael y Amecameca hasta la zona del Exlago de Texcoco.",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,1.11
2009,24,Pánuco,"Desde el nacimiento los ríos San Francisco, San Rafael y Amecameca hasta la zona del Exlago de Texcoco.",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,1.11
2010,24,Pánuco,"Desde el nacimiento los ríos San Francisco, San Rafael y Amecameca hasta la zona del Exlago de Texcoco.",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,1.11
2011,24,Pánuco,"Desde el nacimiento los ríos San Francisco, San Rafael y Amecameca hasta la zona del Exlago de Texcoco.",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,0.18
2012,24,Pánuco,"Desde el nacimiento los ríos San Francisco, San Rafael y Amecameca hasta la zona del Exlago de Texcoco.",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,0.18
2013,24,Pánuco,"Desde el nacimiento los ríos San Francisco, San Rafael y Amecameca hasta la zona del Exlago de Texcoco.",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,0.18
2014,24,Pánuco,"Desde el nacimiento los ríos San Francisco, San Rafael y Amecameca hasta la zona del Exlago de Texcoco.",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,0.18
2015,24,Pánuco,"Río de la Compañía: desde el nacimiento de los ríos San Francisco, San Rafael y Amecameca, hasta la zona del Ex-lago de Texcoco.",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,0.18
2016,24,Pánuco,"Río de la Compañía: desde el nacimiento de los ríos San Francisco, San Rafael y Amecameca, hasta la zona del Ex-lago de Texcoco.",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,0.180975
2017,24,Pánuco,"Arroyo La Piedra o La Laja: Desde su nacimiento y de sus afluentes, hasta su desembocadura en la Laguna de Tamiahua. ",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,0.180975
2018,24,Pánuco,"Río de la Compañía: desde el nacimiento de los ríos San Francisco, San Rafael y Amecameca, hasta la zona del Ex-lago de Texcoco.",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,0.180975
2019,24,Pánuco,"Desde su nacimiento, hasta su desembocadura en el Golfo de México",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,0.180975
2020,24,Pánuco,"Desde el nacimiento de los ríos San Francisco, San Rafael y Amecameca, hasta la zona del Ex-lago de Texcoco.",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,0.09
2021,24,Pánuco,"Desde el nacimiento de los ríos San Francisco, San Rafael y Amecameca, hasta la zona del Ex-lago de Texcoco.",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,0.09
2022,24,Pánuco,"Desde el nacimiento de los ríos San Francisco, San Rafael y Amecameca, hasta la zona del Ex-lago de Texcoco.",Aguas del Valle de México,XIII,Río La Compañía,2666,DisponibilidadMediaAnual,hm³,0.09
,,,,,,,,,,
2008,24,Pánuco,Desde los túneles de Tequixquiac hasta la confluencia del Río Salado con el Río Tula.,Aguas del Valle de México,XIII,Río Salado,2674,DisponibilidadMediaAnual,hm³,10.31
